ID,Title,Status,Release,Description,RoadmapLink,MicrosoftNotes
500380,Microsoft Teams: Private channels increased limits and transition to group compliance,In development,September CY2025,"We are updating private channels to align with compliance model for all channels. After this change, compliance policies applied to the team (M365 Group) will apply to all channels in the team - across standard, private, and shared. Private channels will no longer need user level targeting of policies different from other channels, and private channel compliance messages will no longer be copied to user mailboxes, relying on a dedicated, internal mailbox per channel like shared channels. In addition, limits for private channels will be increased so each team can have more than 30 private channels, up to the 1000 total channel limit per team. Private channel member limits will increase from 250 to 5000. You will also be able to schedule meetings in private channels.
",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500380,
500160,Outlook: Chat for Outlook iOS and Android,In development,September CY2025,"On phone devices, users currently access Copilot Chat in Outlook Mobile via a tab at the bottom of their screen (or in Apps). Outlook is introducing a new Copilot Chat overlay experience, allowing users to chat with Copilot while continuing to interact with their email, calendar, and contacts. This overlay will be context-aware—understanding what the user is viewing—so users can ask Copilot about the content on their screen. 

Users with M365 Copilot licenses will also benefit from Copilot’s ability to  draw on Microsoft 365 Graph to provide richer, more personalized responses. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500160,
498219,"Microsoft Copilot (Microsoft 365): Surveys Agent helps you build, run, and analyze surveys",In development,September CY2025,"Surveys Agent is your expert companion in Microsoft 365 Copilot for building smarter surveys—start to finish. From crafting the survey, launching and collecting data, or analyzing results, Surveys Agent is there to guide you every step of the way. It’s like having a professional survey designer and data analyst at your fingertips—so you can focus on making confident, insight-driven decisions. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498219,
500633, Microsoft Copilot (Microsoft 365): Initiate Copilot Chat by sharing files to the Microsoft 365 Copilot app on iPhone,In development,September CY2025,"When users on iPhone choose the action to share a Word, Excel, or PowerPoint file from a third party app (including Files) and choose Microsoft 365 Copilot as the target app, they will automatically be redirected to a Copilot Chat session in the Microsoft 365 Copilot app with the file summary populated. Users will then have the option to open a preview of the file, or continue their conversation with Copilot Chat. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500633,
500631,"Microsoft Copilot (Microsoft 365): Preview and chat with Microsoft Word, Excel, and PowerPoint files in the Microsoft 365 Copilot app on iPhone",In development,September CY2025,"When opening a Microsoft Word, Excel, or PowerPoint file in the Microsoft 365 Copilot app on iPhone, users will get a preview experience where they can use Copilot Chat to command and ask questions about the files directly in the preview. This enables immediate access to Copilot Chat in a user's file.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500631,
500159,"Microsoft Copilot (Microsoft 365): Preview and chat with Microsoft Word, Excel, and PowerPoint files in the Microsoft 365 Copilot app on iPhone",In development,September CY2025,"When opening a Microsoft Word, Excel, or PowerPoint file in the Microsoft 365 Copilot app on iPhone, users will get a preview experience where they can use Copilot Chat to command and ask questions about the files directly in the preview. This enables immediate access to Copilot Chat in a user's file.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500159,
500640,Outlook: File tab in Ribbon,In development,September CY2025,"The File tab provides new Outlook users with the ability to easily discover account info, settings, PSTs, and more directly from the ribbon. #newoutlookforwindows",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500640,
500639,Microsoft Purview Compliance Portal: Collection policies support in IRM,In development,September CY2025,"With this update, IRM will start supporting collection policies. Collection policies allow customers to scope classification (SITs - Sensitive Information Types) and activities for scoped users. For device indicators based IRM policy, required collection policies will be automatically created in the background. Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies to manage security and compliance. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500639,
500638,Microsoft Copilot (Microsoft 365): Copilot Chat - Session Persistence Enhancement,In development,September CY2025,"This feature ensures that conversations are preserved even when users navigate away from a session. As soon as a prompt is submitted, an entry is immediately created in the navigation pane’s session history. This allows users to leave the session and return later just as if they had never left. The update enhances continuity and reliability, making it easier to navigate without losing progress.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500638,
500634,Microsoft Teams: Collaborate using Pages in Channels,In development,September CY2025,We are bringing Pages to your Teams Channel experience. Create and collaborate using Pages directly in any of your channels.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500634,
499889,Microsoft Teams: Raise hands in Town Hall,In development,September CY2025,"Currently in a Teams Town hall, attendees cannot raise their hands and share their microphone and camera as they can in a meeting. With this new update, town halls organized by users with Teams Premium will allow attendees to raise their hand like they would in a standard Teams meeting. The ability to raise a hand can signal to organizers and presenters, who can then bring attendees on screen to allow them to share their camera and microphone.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499889,
500377,Microsoft Copilot (Microsoft 365): Copilot Chat - Support for emails in ContextIQ,In development,September CY2025,Users can include an email in their prompt as a reference by typing '/' and selecting one from the ContextIQ menu. Copilot Chat will reference the included email as part of its response. This feature applies to users without a Microsoft 365 Copilot license (Copilot Chat users) and to users with a license (Microsoft 365 Copilot users) when they are toggled to web scope in chat.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500377,
499893,Microsoft Teams: Malicious URL Protection for Teams Chat and Channels ,In development,September CY2025,"Microsoft Teams can now detect and warn users on malicious URLs sent in Teams chat and channels, increasing protection against malware attacks.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499893,
499892,Microsoft Teams: Weaponizable File Type Protection for Teams Chat and Channels ,In development,September CY2025,"Microsoft Teams now blocks messages containing weaponizable file types, such as executables, in chats and channels, increasing protection against malware and other file-based attacks. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499892,
499891,"Microsoft Teams: Facilitator
agent for scheduled and ad-hoc meetings in Teams Rooms on Windows",In development,September CY2025,"Users can now use the Facilitator agent in Teams Rooms on Windows for real-time notes and action items during both scheduled hybrid and impromptu in-person meetings using AI. In hybrid meetings, the agent appears in the notes panel. For in-person meetings, a participant can scan the QR code on the display in the room to invoke the agent as the group's assistant.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499891,
500375,Microsoft Copilot (Microsoft 365): Larger file upload support in Copilot Studio agent builder,In development,September CY2025,Copilot Studio agent builder in Microsoft 365 will support larger file uploads of up to 512 MB.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500375,
500161,Microsoft Viva: Copilot Analytics - Unified Exclusion list,In development,September CY2025,"Unified Exclusion Lists in Copilot Analytics provide a single, streamlined way for admins to exclude users—both unlicensed and licensed—from all Viva Insights reports and Copilot Dashboard. This ensures consistent, privacy-compliant data control across the entire platform. Admins can manage exclusions easily through one list, simplifying configuration and safeguarding sensitive user data without impacting other organizational HR data.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500161,
499615,Microsoft Teams: Simplified device settings for voice and face recognition on Teams Rooms”,In development,September CY2025,"It's easier for admins to enable the benefits of intelligent audio and video and Copilot for users in Teams Rooms through a new user interface, and admin settings. These new settings, on the device and in the Pro Management portal, simplify configuration and remove the requirement to use PowerShell, offering improved visibility across rooms.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499615,
500376,Microsoft Copilot (Microsoft 365): Admin control for org-wide agent sharing,In development,September CY2025,Admins can manage who can create org-wide agent sharing links for agents built in Copilot Studio Agent Builder for improved governance and flexibility of agent sharing.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500376,
500162,Microsoft Edge: HTTPS First Mode ,In development,September CY2025,"HTTPS-First Mode in Microsoft Edge automatically upgrades HTTP connections to HTTPS when possible.  If a site doesn’t support HTTPS, Microsoft Edge shows a warning to highlight the security risk. This appears only for public sites—not private ones or manually entered HTTP URLs. Users can enable the warning in edge://settings and admins can control availability to this feature using the HttpsOnlyMode policy.  ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500162,
499620,Microsoft Teams: Customize captions on Mobile,In development,September CY2025,"Live captions are now available on mobile devices with enhanced customization options, making captions easier to read and follow during meetings. You can personalize your captions by adjusting the font color, caption background color, and caption height. These enhancements ensure captions remain accessible and comfortable, especially under varying lighting conditions or when you're on the go.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499620,
496149,Microsoft Purview compliance portal: Insider Risk Management - Personal email triggers,In development,September CY2025,"In this update, we are adding the recently added email indicators in Insider Risk Management as triggers. 1.  Sending email with attachments to free public domains - Users will be brought into scope of a policy when business-sensitive data is potentially leaked from a work email account to a free public domain email, potentially leading to a data security incident.  2. Sending email with attachments to self - Users will be brought into scope of a policy when business-sensitive data is potentially leaked from a work email account to user's personal email account or emailing self, potentially leading to a data security incident. 
Admins with appropriate permissions can enable these indicators from the settings page and use these triggers in the data leaks or data leaks by priority users template.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=496149,
500018,"Microsoft Viva: Storyline & Post Enhancements, Cover Photos, Drafts, AMAs, and More",In development,September CY2025,"Over the course of the next few months, you’ll see a set of updates that make it easier to create, manage, and personalize posts in Viva Engage. These include Storyline cover photos and featured posts to further customize your Storyline page, the ability to draft and schedule posts in advance, support for AMAs, and the ability for a delegate to post-on-behalf-of on Storyline. Whether you're a communicator, leader, or team member, these features will help you engage your audience with greater clarity and customizations. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500018,
499899,Microsoft Viva: Copilot Dashboard - M365 Copilot Chat adoption metrics,In development,September CY2025,"Insights on M365 Copilot Chat adoption for users not licensed for M365 Copilot. Insights will include usage trends over time, adoption by group, retention, and app level breakdowns. Users can filter by organizational attributes to uncover adoption patterns. Admins can disable M365 Copilot Chat insights in Microsoft Admin Center.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499899,
499896,Microsoft Viva: Live event using Teams Town hall in Viva Engage,In development,September CY2025,"Community admins can now produce or stream their broadcasts using Teams Town hall, offering higher-quality production and enhanced functionality.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499896,
498159,Microsoft Teams: Chat Notes,In development,September CY2025,"A new collaborative space is now available directly from your Teams chat, enabling real-time collaboration, organization of key information, and streamlined communications. Chat notes is available in 1:1 and group chat, and is accessible only to the chat members. Add images, format text, share Loop components, and mention chat members when you require their attention.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498159,
499900,Outlook: Send Button update,In development,September CY2025,"This feature reduces accidental message sends by moving the send button from the bottom of the compose view, in the compose toolbar to the header of the compose view. By moving the send button to a less crowded location, users can avoid accidental taps, resulting in a more intentional and error-free messaging experience.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499900,
499616,Microsoft Teams: Enhanced privacy and stability for live captions ,In development,September CY2025,"To improve privacy, when transcription is off, captions will now show only the past five minutes of dialogue instead of the full meeting. If transcription is on, captions display the entire conversation, just like with live transcription. We’re also fixing an issue where changing the caption position could cause data loss—now, moving captions will not affect the text shown. These updates also apply to Real-time Text (RTT), ensuring a consistent and reliable experience.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499616,
498914,Outlook: New Scheduling and Event Creation Experience,In development,September CY2025,"The Outlook and Teams calendars will receive an update to the scheduling and event creation experience. Additionally, new capabilities will be available in this new experience to help streamline and enhance scheduling using Copilot.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498914,
497939, Microsoft Copilot (Microsoft 365): Update document sections from new sources,In development,September CY2025,Easily refresh parts of your document using content from other files—without copying and pasting. Copilot keeps your formatting intact while pulling in the latest updates from new sources.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497939,
499424,Microsoft Edge: Ground Microsoft 365 Copilot Chat in Edge for Business in your open YouTube videos,In development,September CY2025,Get relevant answers and insights about your open YouTube videos in Copilot Chat in Edge. ,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499424,
499423,Microsoft Edge: Ground Microsoft 365 Copilot Chat in Edge for Business in your open OneDrive and SharePoint documents,In development,September CY2025,Get relevant answers and insights about your open cloud documents in Copilot Chat in Edge. ,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499423,
499809,Microsoft Copilot (Microsoft 365): Harmful Content Protection Controls in Microsoft 365 Copilot Chat,In development,September CY2025,"We’re introducing a new policy setting in Microsoft 365 Copilot Chat that gives administrators enhanced control over how users interact with harmful content protection. This feature is designed to support specialized roles—such as legal, investigative, or moderation teams—where exposure to sensitive content may be necessary.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499809,
499428,Microsoft Copilot (Microsoft 365): Enhanced document editing support in Word,In development,September CY2025,"Copilot supports document editing in Word through chat-based interactions. Users can initiate edits, share clarifying directions, and review a summary of changes within the document.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499428,
499657,"Microsoft Copilot (Microsoft 365): [Copilot Chat] Email attachment summarization (Modern Attachments, Item Attachments)",In development,September CY2025,"Users will be able to reason over additional attachment content, along with the email body, in Copilot Chat. Support will be extended to Word, Excel, PowerPoint, Pdf, Text, Json and Xml files mentioned in the email as links (Modern Attachments). Additionally, other item attachments, such as email threads, will also be supported.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499657,
499654,SharePoint: Updates to News page in SharePoint sites,In development,September CY2025,"The News page renders news items in a given site. It is typically accessed via the ""see all"" experience of a news web part.  We are updating the user experience of this page and bringing in Copilot capabilities to licensed users. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499654,
499431,Microsoft Purview compliance portal: Endpoint Data Loss Prevention -- Always-on diagnostics for Windows Endpoints (Phase 2),In development,September CY2025,"Admins can retrieve diagnostic 'Always-on diagnostic' traces directly from Windows endpoints and selectively upload them to Microsoft through the Purview Portal at the time of an investigation request such as submitting a support ticket, without disrupting end users or impacting their productivity. This eliminates the need for user coordination while maintaining seamless troubleshooting capabilities",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499431,
499430,Microsoft Edge: Tab Groups – Auto-Save and Easy Revisit,In development,September CY2025,"Microsoft Edge now automatically saves tab groups, making it easier than ever for users to pick up where they left off. Organized tab groups are preserved and ready to revisit anytime, whether a user is switching tasks or restarting the browser.  Admins can control the availability of the feature using the “SyncTypesListDisabled” policy with the “openTabs” data type.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499430,
499421,Microsoft Viva: Enhancement to Copilot studio agents report ,In development,September CY2025,"Enhancement to Copilot studio agents report (Preview) 
1.  Addition of Weekly active user count 
2.  Report aggregation changed to weekly to main consistency with other reports",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499421,
498913,"Microsoft Viva: Copilot Dashboard - Copilot Chat in Word, Excel, PowerPoint Metrics",In development,September CY2025,"Copilot Analytics users can now view metrics that reflect Copilot Chat (Work and Web) activity across Word, Excel, and PowerPoint. These updates reflect the latest addition of Copilot Chat to these apps to help users transition seamlessly between workflows and will be displayed alongside existing app chat metrics for continuity. The updated metrics are available in the Copilot Dashboard, the M365 Copilot Adoption and Impact PBI reports, with additional query support for all chat prompt metrics.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498913,
499153,Microsoft Copilot (Microsoft 365): Enhanced Personalization via Communication Memory in Copilot ,In development,September CY2025,Copilot-licensed enterprise users will benefit from Enhanced Personalization in Microsoft 365 Copilot through a new communication memory that further improves personalization by increasing the relevance and quality of responses based on previous communications. Communications memory is private to the user and based purely on communications the user has access to.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499153,
499150,Microsoft Copilot (Microsoft 365): Audio Overview customization in Copilot Notebooks,In development,September CY2025,Guide the content of an Audio Overview created for a Copilot Notebook through natural language input.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499150,
499024,SharePoint: eSignature - Free Text Field Support,In development,September CY2025,"SharePoint eSignature users would be able to add custom free text fields to their request documents. This new eSignature field can be used to request information (such as address, full name, etc.) from signers. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499024,
498919,Microsoft Copilot (Microsoft 365): [Copilot Extensibility] Delete Schema Properties via Copilot Connector APIs,In development,September CY2025,"We’re adding support for property deletion in custom Copilot connectors, giving admins and developers more control over schema evolution. With this feature, you can:
* Use Copilot connector APIs to delete or drop individual schema properties that are no longer needed.
* Keep your connector schema clean and up-to-date without requiring full re-ingestion.
* Reduce developer overhead and simplify maintenance workflows as your data models evolve.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498919,
498918,Microsoft Copilot (Microsoft 365): [Copilot Extensibility] Connector Metadata Enrichment for Custom Copilot Connectors,In development,September CY2025,"We’re introducing new options that allow admins and developers to enrich their custom Copilot connectors and its schema properties with descriptive metadata.
With this update, you can now: * Provide richer context about the connection and its schema properties to Copilot’s LLM, enabling more accurate and relevant responses. Add alternate names, data source categories, common actions to your connector and description for schema properties. * Improve search and chat quality by helping Copilot better understand the semantics and purpose of your data.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498918,
498912,Microsoft Copilot (Microsoft 365): [Copilot Extensibility] Simplified People Resolution for Custom Copilot Connectors,In development,September CY2025,"This feature enables connectors to resolve external identities—such as email addresses or user IDs from third-party data sources—to their corresponding Microsoft Entra ID (Azure AD) identities. By allowing flexible identity mapping, developers can:
* Simplify integration workflows without needing complex Graph API lookups.
* Reduce setup friction by avoiding strict dependency on object IDs.
* Improve search and chat relevance in Copilot by ensuring accurate people attribution across connected systems.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498912,
498911,Microsoft Copilot (Microsoft 365): [Copilot Extensibility] Schema Recommendations for Custom Connectors in M365 Admin Center,In development,September CY2025,"Accelerate your custom connector development with intelligent schema guidance directly in the Microsoft 365 Admin Center. This feature provides:
* Proposed schema suggestions tailored to the connector you’re building.
* Real-time recommendations to identify gaps or errors in your schema design to help improve search and chat results in Copilot.
Whether you're starting from scratch or refining an existing connector, this enhancement ensures your schema is optimized for Copilot extensibility and performance.
",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498911,
498910,Microsoft Copilot (Microsoft 365): [Copilot Extensibility] Full refresh of custom connectors datasource,In development,September CY2025,Admins and developers can do a full refresh or sync of their datasource for Custom Connectors using Graph APIs. This also ensures that any items deleted in the source are automatically deleted during this full sync and admins do not have to use separate delete APIs to do this. ,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498910,
498909,Microsoft Copilot (Microsoft 365): [Copilot Extensibility] Customize icons and display names for custom Copilot connectors,In development,September CY2025,"1. Add or Customize icons for Custom Copilot connectors using the Graph API or from the M365 Admin Center. 
2. Add or Customize display names for Custom Copilot connectors using the Graph API or from the M365 Admin Center. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498909,
498641,Microsoft Edge: Add “Summarize” and “Explain” Copilot actions in PDF reader,In development,September CY2025,Microsoft Edge will expand its existing “Ask Copilot” integration in the built-in PDF reader by introducing two new actions — “Summarize” and “Explain.” These options will allow users to generate a concise overview or simplify complex content within a PDF or selected portion. The new actions build on the existing “Ask Copilot” integration and follow the same enterprise controls and policies.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498641,
499077,Planner: Information Barrier support in Planner,In development,September CY2025,"Information Barrier (IB) support in Microsoft Planner will enable organizations to restrict access to plans and tasks based on user groups.  IB will help prevent data leakage, enforce internal policies, and support regulatory mandates by limiting plan visibility and collaboration to authorized segments.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499077,
498897,Outlook: Global Address List Redesign,In development,September CY2025,"The Global Address List, or Address Book, is getting a major visual redesign to make it easier to navigate, show more contact information in the search results list, improve its accessibility, and improve its appearance overall. This window is accessible via the To/Cc/Bcc buttons in the email compose form. #newoutlookforwindows",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498897,
497941,Microsoft Copilot (Microsoft 365): Recent activity is part of Copilot's dynamic document snapshot in Word,In development,September CY2025,"Select the Activity tab within the Copilot summary at the top of a document for a summary of recent comments and changes. Choose a time window of 3 days, 1 week, or 2 weeks.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497941,
497849,Microsoft Copilot (Microsoft 365): Press and hold Win + C or Copilot key to activate voice on the Microsoft 365 Copilot app,In development,September CY2025,"Press and hold Win + C keys, or the dedicated Copilot key for applicable devices, and the Microsoft 365 Copilot app will activate voice. With voice, talk to Copilot like a personal assistant - interrupting and redirecting at any time to prepare for the workday, create documents, understand topics, and search for information. This shortcut to activate voice means you don't have to switch between screens to talk with Copilot. Enterprise-grade security and compliance are built in, so conversations stay private while productivity soars.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497849,
498231,Outlook: External tag in profile cards,In development,September CY2025,"For users that are external to your organization, an ""External"" tag will be shown in the top part of their profile card. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498231,
497998,Microsoft 365 app: Microsoft Places Support to GCCH and DoD,In development,September CY2025,"""Microsoft Places is an AI-powered workplace app for flexible work. Places helps organizations reimagine flexible work with AI, enables employees to connect more easily in person so that they can make the most of in-office days.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497998,
498493,Microsoft Viva: View and moderate private community content without being a member,In development,September CY2025,"This feature enables verified admins and Engage admins to access and moderate private community conversations without needing to be members of those communities. Admins will also be able to manage community settings, ensuring better governance and oversight across Viva Engage.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498493,
498226,Microsoft Teams: Deploy Teams frontline worker pilot in Teams Admin Center,In development,September CY2025,Deploy a frontline worker (FLW) pilot in Teams Admin Center,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498226,
498230,Microsoft Purview compliance portal: [Data Loss Prevention] - [Admin units support for SharePoint Online],In development,September CY2025,"Delegate management and remediation authority for different people in different regions or organization units with role-based access control (RBAC). For example, German investigators should be able to investigate alerts and audit events for only German users. This update extends support to SharePoint for Microsoft 365.

",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498230,
498160,Microsoft Purview compliance portal: eDiscovery - Microsoft Purview eDiscovery - Guest access for export downloads,In development,September CY2025,"This feature allows external guest users to securely access and download export packages from Purview eDiscovery cases, with administrators able to set restrictions such as allowed IP addresses and token expiration to support secure external collaboration. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=498160,
497915,Microsoft Copilot (Microsoft 365): Scope prompts to specific Channels in Teams in Copilot Chat,In development,September CY2025,Users will be able to scope their prompts to specific Channels in Teams to get more focused responses when using Copilot Chat.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497915,
497944,Microsoft Purview Compliance Portal: Service health dashboard,In development,September CY2025,"As a Microsoft Purview user, you'll be able to view outages, service issues, and advisories that might impact your services. This new dashboard will combine the services and solutions health of Purview, Microsoft 365 services, and Azure Cloud Services in one central place in the Purview portal, eliminating the need to go to several places to find this information. ",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497944,
497912,Microsoft Purview compliance portal: Optical character recognition (OCR) - Support for embedded images in files including Office files in SharePoint and OneDrive ,In development,September CY2025,"Optical character recognition (OCR) scanning enables Microsoft Purview to scan images for sensitive information. With Embedded support, OCR will scan content in DOCX, PPTX, XLSX and PDFs (scanned and hybrid containing searchable text and images). This will be in addition to support for standalone images",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497912,
497999,Microsoft 365 admin center: Agents usage report,In development,September CY2025,"A new agents usage report will be available in the Microsoft 365 admin center. The report will be scoped to include agents in M365 Copilot and Copilot Chat with usage by both M365 Copilot licensed and unlicensed users. The report will include total active agent users, total active agents, active users segmentation by licensed and unlicensed users, and active users and active agents segmentation by publisher type (i.e. user-created agents, agents built by your org, agents built by Microsoft, agents built by Microsoft partners). The report will also include usage details per user, agent, and user-agent pair.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497999,
497909,Microsoft CoPilot (Microsoft 365): List email attachments in M365 Copilot,In development,September CY2025,Users will be able to list the file attachments that they received or sent over email in M365 Copilot.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497909,
497834,Outlook: Quick steps in the pop-out ribbon,In development,September CY2025,Quick Steps are now integrated into the ribbon of email pop-out ribbon in the new Outlook for Windows and Web. Users can access and execute their configured Quick Steps directly while reading emails in separate windows. #newoutlookforwindows,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=497834,
